id_match,source,home_or_away,team_code,team_xG,team_odds,opponent_code,opponent_xG,opponent_odds,team_score,opponent_score,score_differential,match_attendance,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,target_top_4,month,day_of_week,year
2034552,Nations,1,AUT,-1.2,6048,CRO,1.3,9340,1,3,-2,45700,48.2071889,16.4205083,105,68,0,9,6,2022
2040260,Friendlies,1,AUT,-1.2,6048,SRB,-0.3,15858,2,1,1,21425,48.2071889,16.4205083,105,68,0,6,1,2024
2039978,Friendlies,0,AUT,-1.2,6048,SVK,-1.1,15850,2,0,2,9912,48.17758,17.154043,105,68,0,3,5,2024
2036507,Qualifiers,0,AZE,-3.0,70000,BEL,1.1,2488,0,5,-5,30276,50.8957583,4.3339472,105,68,0,11,6,2023
2036301,Qualifiers,0,AZE,-3.0,70000,AUT,-1.2,6048,1,4,-3,16500,48.292726,14.275684,105,68,0,3,4,2023
2036346,Qualifiers,1,AZE,-3.0,70000,EST,-3.0,70000,1,1,0,3900,40.481058,50.145446,105,68,0,6,5,2023
2036439,Qualifiers,0,AZE,-3.0,70000,EST,-3.0,70000,2,0,2,5652,59.4213583,24.7321556,105,68,0,10,4,2023
2034524,Nations,0,AZE,-3.0,70000,SVK,-1.1,15850,2,1,1,2875,48.3738444,17.5916278,105,68,0,9,3,2022
2040797,Friendlies,1,AZE,-3.0,70000,KAZ,-3.0,70000,3,2,1,21425,47.2348111,16.6069583,105,68,0,6,1,2024
2034475,Nations,1,AZE,-3.0,70000,SVK,-1.1,15850,0,1,-1,2967,40.481058,50.145446,105,68,0,6,4,2022
2040327,Friendlies,1,AZE,-3.0,70000,MGL,-3.0,70000,1,0,1,21425,40.3973806,49.8523917,105,68,0,3,4,2024
2040329,Friendlies,1,AZE,-3.0,70000,BUL,-3.0,70000,1,1,0,3220,40.3973806,49.8523917,105,68,0,3,0,2024
2036392,Qualifiers,1,AZE,-3.0,70000,BEL,1.1,2488,0,1,-1,4500,40.481058,50.145446,105,68,0,9,5,2023
2037559,Friendlies,1,AZE,-3.0,70000,JOR,-3.0,70000,2,1,1,21425,40.481058,50.145446,105,68,0,9,1,2023
2036323,Qualifiers,0,AZE,-3.0,70000,SWE,-3.0,70000,0,5,-5,23674,59.3725,18.0,105,68,0,3,0,2023
2036461,Qualifiers,1,AZE,-3.0,70000,AUT,-1.2,6048,0,1,-1,4446,40.3973806,49.8523917,105,68,0,10,0,2023
2034422,Nations,0,AZE,-3.0,70000,KAZ,-3.0,70000,0,2,-2,19823,51.1083,71.402631,105,68,0,6,4,2022
2034550,Nations,1,AZE,-3.0,70000,KAZ,-3.0,70000,3,0,3,2950,40.481058,50.145446,105,68,0,9,6,2022
2036485,Qualifiers,1,AZE,-3.0,70000,SWE,-3.0,70000,3,0,3,5570,40.3973806,49.8523917,105,68,0,11,3,2023
2040796,Friendlies,0,AZE,-3.0,70000,ALB,-2.2,48468,1,3,-2,21425,47.2348111,16.6069583,105,68,0,6,4,2024
2034456,Nations,0,AZE,-3.0,70000,BLR,-3.0,70000,0,0,0,21425,45.2469083,19.8422944,105,68,0,6,0,2022
2034503,Nations,1,AZE,-3.0,70000,BLR,-3.0,70000,2,0,2,2330,40.481058,50.145446,105,68,0,6,0,2022
2034479,Nations,0,BEL,1.1,2488,WAL,-3.0,70000,1,1,0,27188,51.474537,-3.200818,105,68,0,6,5,2022
2036392,Qualifiers,0,BEL,1.1,2488,AZE,-3.0,70000,1,0,1,4500,40.481058,50.145446,105,68,0,9,5,2023
2036438,Qualifiers,0,BEL,1.1,2488,AUT,-1.2,6048,3,2,1,47000,48.2071889,16.4205083,105,68,0,10,4,2023
2037513,Friendlies,0,BEL,1.1,2488,GER,2.5,398,3,2,1,42910,50.9335056,6.8749944,105,68,0,3,1,2023
2039022,Friendlies,1,BEL,1.1,2488,SRB,-0.3,15858,1,0,1,21425,50.8267556,4.6602194,105,68,0,11,2,2023
2036347,Qualifiers,1,BEL,1.1,2488,AUT,-1.2,6048,1,1,0,39237,50.8957583,4.3339472,105,68,0,6,5,2023
2036462,Qualifiers,1,BEL,1.1,2488,SWE,-3.0,70000,1,1,0,21425,50.8957583,4.3339472,105,68,0,10,0,2023
2034507,Nations,0,BEL,1.1,2488,POL,-0.1,17538,1,0,1,56803,52.239406,21.045881,105,68,0,6,1,2022
2034521,Nations,1,BEL,1.1,2488,WAL,-3.0,70000,2,1,1,28463,50.8957583,4.3339472,105,68,0,9,3,2022
2036507,Qualifiers,1,BEL,1.1,2488,AZE,-3.0,70000,5,0,5,30276,50.8957583,4.3339472,105,68,0,11,6,2023
2034424,Nations,1,BEL,1.1,2488,NED,0.1,1553,1,4,-3,38327,50.8957583,4.3339472,105,68,0,6,4,2022
2034447,Nations,1,BEL,1.1,2488,POL,-0.1,17538,6,1,5,27409,50.8957583,4.3339472,105,68,0,6,2,2022
2039814,Friendlies,0,BEL,1.1,2488,ENG,0.3,451,2,2,0,21425,51.5558417,-0.2795972,105,68,0,3,1,2024
2036415,Qualifiers,1,BEL,1.1,2488,EST,-3.0,70000,5,0,5,24127,50.8957583,4.3339472,105,68,0,9,1,2023
2034551,Nations,0,BEL,1.1,2488,NED,0.1,1553,0,1,-1,52314,52.314172,4.94185,105,68,0,9,6,2022
2040261,Friendlies,1,BEL,1.1,2488,MNE,-3.0,70000,2,0,2,21425,50.8957583,4.3339472,105,68,0,6,2,2024
2039979,Friendlies,0,BEL,1.1,2488,IRL,-3.0,70000,0,0,0,21425,53.335691,-6.228819,105,68,0,3,5,2024
2036300,Qualifiers,0,BEL,1.1,2488,SWE,-3.0,70000,3,0,3,49296,59.3725,18.0,105,68,0,3,4,2023
2036370,Qualifiers,0,BEL,1.1,2488,EST,-3.0,70000,3,0,3,11772,59.4213583,24.7321556,105,68,0,6,1,2023
2039991,Friendlies,1,BEL,1.1,2488,LUX,-3.0,70000,3,0,3,21425,50.8957583,4.3339472,105,68,0,6,5,2024
2040204,Friendlies,0,BIH,-3.0,70000,ENG,0.3,451,0,3,-3,21425,54.9755444,-1.6216361,105,68,0,6,0,2024
2036425,Qualifiers,0,BIH,-3.0,70000,ISL,-3.0,70000,0,1,-1,5229,64.1435667,-21.8790389,105,68,0,9,0,2023
2034516,Nations,1,BIH,-3.0,70000,FIN,-3.0,70000,3,2,1,8150,44.2057944,17.9071889,105,68,0,6,1,2022
2036472,Qualifiers,1,BIH,-3.0,70000,POR,1.4,601,0,5,-5,13047,44.2057944,17.9071889,105,68,0,10,0,2023
2036380,Qualifiers,1,BIH,-3.0,70000,LUX,-3.0,70000,0,2,-2,8600,44.2057944,17.9071889,105,68,0,6,1,2023
2034545,Nations,1,BIH,-3.0,70000,MNE,-3.0,70000,1,0,1,12050,44.2057944,17.9071889,105,68,0,9,4,2022
2034432,Nations,0,BIH,-3.0,70000,FIN,-3.0,70000,1,1,0,20181,60.1869611,24.9272583,105,68,0,6,5,2022
