id_match,date,source,home_or_away,team_code,team_xG,team_odds,opponent_code,opponent_xG,opponent_odds,team_score,opponent_score,match_attendance,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,target_top_4
2036484,11/16/2023,Qualifiers,0,AUT,-1.2,6048,EST,-3,70000,2,0,4488,59.4213583,24.7321556,105,68,0
2039097,11/21/2023,Friendlies,1,AUT,-1.2,6048,GER,2.5,398,2,0,46000,48.2071889,16.4205083,105,68,0
2034478,6/10/2022,Nations,1,AUT,-1.2,6048,FRA,1.2,401,1,1,44800,48.2071889,16.4205083,105,68,0
2040265,6/8/2024,Friendlies,0,AUT,-1.2,6048,SUI,1.4,4995,1,1,21425,47.4070194,9.3041861,105,68,0
2036347,6/17/2023,Qualifiers,0,AUT,-1.2,6048,BEL,1.1,2488,1,1,39237,50.8957583,4.3339472,105,68,0
2038897,9/7/2023,Friendlies,1,AUT,-1.2,6048,MDA,-3,70000,1,1,13200,48.292726,14.275684,105,68,0
2034520,9/22/2022,Nations,0,AUT,-1.2,6048,FRA,1.2,401,0,2,70188,48.9245472,2.3600667,105,68,0
2040203,3/26/2024,Friendlies,1,AUT,-1.2,6048,TUR,1.7,5515,6,1,21425,48.2071889,16.4205083,105,68,0
2034426,6/3/2022,Nations,0,AUT,-1.2,6048,CRO,1.3,9340,3,0,13994,45.544953,18.695683,105,68,0
2034451,6/6/2022,Nations,1,AUT,-1.2,6048,DEN,0.6,5264,1,2,18700,48.2071889,16.4205083,105,68,0
2036438,10/13/2023,Qualifiers,1,AUT,-1.2,6048,BEL,1.1,2488,2,3,47000,48.2071889,16.4205083,105,68,0
2036416,9/12/2023,Qualifiers,0,AUT,-1.2,6048,SWE,-3,70000,3,1,43228,59.3725,18,105,68,0
2034552,9/25/2022,Nations,1,AUT,-1.2,6048,CRO,1.3,9340,1,3,45700,48.2071889,16.4205083,105,68,0
2040260,6/4/2024,Friendlies,1,AUT,-1.2,6048,SRB,-0.3,15858,2,1,21425,48.2071889,16.4205083,105,68,0
2039978,3/23/2024,Friendlies,0,AUT,-1.2,6048,SVK,-1.1,15850,2,0,9912,48.17758,17.154043,105,68,0
2036507,11/19/2023,Qualifiers,0,AZE,-3,70000,BEL,1.1,2488,0,5,30276,50.8957583,4.3339472,105,68,0
2036301,3/24/2023,Qualifiers,0,AZE,-3,70000,AUT,-1.2,6048,1,4,16500,48.292726,14.275684,105,68,0
2036346,6/17/2023,Qualifiers,1,AZE,-3,70000,EST,-3,70000,1,1,3900,40.481058,50.145446,105,68,0
2036439,10/13/2023,Qualifiers,0,AZE,-3,70000,EST,-3,70000,2,0,5652,59.4213583,24.7321556,105,68,0
