id_match,team_code,team_xG,team_odds,opponent_xG,opponent_odds,team_score,opponent_score,team_penalty,opponent_penalty,home_score_total,away_score_total,date,match_attendance,stadium_latitude,stadium_longitude,stadium_pitch_length,stadium_pitch_width,penalties_missed,penalties,source,target_top_4,opponent_code,home_or_away
2034475.0,AZE,-3,70000,-1.1,15850.0,0.0,1.0,,,0.0,1.0,6/10/2022,2967.0,40.481058,50.145446,105,68,,,Nations,0.0,SVK,home
2040327.0,AZE,-3,70000,-3,70000.0,1.0,0.0,,,1.0,0.0,3/22/2024,,40.3973806,49.8523917,105,68,,,Friendlies,0.0,MGL,home
2040329.0,AZE,-3,70000,-3,70000.0,1.0,1.0,,,1.0,1.0,3/25/2024,3220.0,40.3973806,49.8523917,105,68,,,Friendlies,0.0,BUL,home
2036392.0,AZE,-3,70000,1.1,2488.0,0.0,1.0,,,0.0,1.0,9/9/2023,4500.0,40.481058,50.145446,105,68,,,Qualifiers,0.0,BEL,home
2037559.0,AZE,-3,70000,-3,70000.0,2.0,1.0,,,2.0,1.0,9/12/2023,,40.481058,50.145446,105,68,,,Friendlies,0.0,JOR,home
2036323.0,AZE,-3,70000,-3,70000.0,5.0,0.0,,,5.0,0.0,3/27/2023,23674.0,59.3725,18.0,105,68,,,Qualifiers,0.0,SWE,away
2036461.0,AZE,-3,70000,-1.2,6048.0,0.0,1.0,,,0.0,1.0,10/16/2023,4446.0,40.3973806,49.8523917,105,68,,,Qualifiers,0.0,AUT,home
2034422.0,AZE,-3,70000,-3,70000.0,2.0,0.0,,,2.0,0.0,6/3/2022,19823.0,51.1083,71.402631,105,68,,,Nations,0.0,KAZ,away
2034550.0,AZE,-3,70000,-3,70000.0,3.0,0.0,,,3.0,0.0,9/25/2022,2950.0,40.481058,50.145446,105,68,,,Nations,0.0,KAZ,home
2036485.0,AZE,-3,70000,-3,70000.0,3.0,0.0,,,3.0,0.0,11/16/2023,5570.0,40.3973806,49.8523917,105,68,,,Qualifiers,0.0,SWE,home
2040796.0,AZE,-2.2,48468,-3,70000.0,3.0,1.0,,,3.0,1.0,6/7/2024,,47.2348111,16.6069583,105,68,,,Friendlies,0.0,ALB,away
2034456.0,AZE,-3,70000,-3,70000.0,0.0,0.0,,,0.0,0.0,6/6/2022,0.0,45.2469083,19.8422944,105,68,,,Nations,0.0,BLR,away
2034503.0,AZE,-3,70000,-3,70000.0,2.0,0.0,,,2.0,0.0,6/13/2022,2330.0,40.481058,50.145446,105,68,,,Nations,0.0,BLR,home
2034479.0,BEL,-3,70000,1.1,2488.0,1.0,1.0,,,1.0,1.0,6/11/2022,27188.0,51.474537,-3.200818,105,68,,,Nations,0.0,WAL,away
2036392.0,BEL,-3,70000,1.1,2488.0,0.0,1.0,,,0.0,1.0,9/9/2023,4500.0,40.481058,50.145446,105,68,,,Qualifiers,0.0,AZE,away
2036438.0,BEL,-1.2,6048,1.1,2488.0,2.0,3.0,,,2.0,3.0,10/13/2023,47000.0,48.2071889,16.4205083,105,68,,,Qualifiers,0.0,AUT,away
2037513.0,BEL,2.5,398,1.1,2488.0,2.0,3.0,,,2.0,3.0,3/28/2023,42910.0,50.9335056,6.8749944,105,68,,,Friendlies,0.0,GER,away
2039022.0,BEL,1.1,2488,-0.3,15858.0,1.0,0.0,,,1.0,0.0,11/15/2023,,50.8267556,4.6602194,105,68,,,Friendlies,0.0,SRB,home
2036347.0,BEL,1.1,2488,-1.2,6048.0,1.0,1.0,,,1.0,1.0,6/17/2023,39237.0,50.8957583,4.3339472,105,68,,,Qualifiers,0.0,AUT,home
2036462.0,BEL,1.1,2488,-3,70000.0,1.0,1.0,,,1.0,1.0,10/16/2023,0.0,50.8957583,4.3339472,105,68,,,Qualifiers,0.0,SWE,home
2034507.0,BEL,-0.1,17538,1.1,2488.0,0.0,1.0,,,0.0,1.0,6/14/2022,56803.0,52.239406,21.045881,105,68,,,Nations,0.0,POL,away
2034521.0,BEL,1.1,2488,-3,70000.0,2.0,1.0,,,2.0,1.0,9/22/2022,28463.0,50.8957583,4.3339472,105,68,,,Nations,0.0,WAL,home
2036507.0,BEL,1.1,2488,-3,70000.0,5.0,0.0,,,5.0,0.0,11/19/2023,30276.0,50.8957583,4.3339472,105,68,,,Qualifiers,0.0,AZE,home
2034424.0,BEL,1.1,2488,0.1,1553.0,1.0,4.0,,,1.0,4.0,6/3/2022,38327.0,50.8957583,4.3339472,105,68,,,Nations,0.0,NED,home
2034447.0,BEL,1.1,2488,-0.1,17538.0,6.0,1.0,,,6.0,1.0,6/8/2022,27409.0,50.8957583,4.3339472,105,68,,,Nations,0.0,POL,home
2039814.0,BEL,0.3,451,1.1,2488.0,2.0,2.0,,,2.0,2.0,3/26/2024,,51.5558417,-0.2795972,105,68,,,Friendlies,1.0,ENG,away
2036415.0,BEL,1.1,2488,-3,70000.0,5.0,0.0,,,5.0,0.0,9/12/2023,24127.0,50.8957583,4.3339472,105,68,,,Qualifiers,0.0,EST,home
